mnemonic,All usual residents aged 16+,Married,In a registered same-sex civil partnership
E09000021,100.0,46.0,0.3
E09000024,100.0,44.9,0.3
E09000026,100.0,50.2,0.2
E09000027,100.0,47.3,0.4
E09000029,100.0,47.7,0.2
E09000031,100.0,40.0,0.4
E06000036,100.0,50.0,0.2
E06000043,100.0,31.8,1.0
E06000046,100.0,48.3,0.2
E06000035,100.0,46.1,0.2
E06000042,100.0,48.0,0.2
E06000044,100.0,36.9,0.3
E06000038,100.0,41.5,0.2
E06000039,100.0,48.5,0.1
E06000045,100.0,37.0,0.2
E06000037,100.0,54.1,0.2
E06000040,100.0,52.5,0.2
E06000041,100.0,57.5,0.2
E07000004,100.0,53.0,0.2
E07000005,100.0,58.3,0.2
E07000006,100.0,55.5,0.2
E07000007,100.0,52.4,0.1
E07000061,100.0,42.8,0.4
E07000062,100.0,39.2,0.3
E07000063,100.0,49.6,0.5
E07000064,100.0,51.3,0.3
E07000065,100.0,55.1,0.2
E07000084,100.0,52.5,0.2
E07000085,100.0,55.9,0.1
E07000086,100.0,52.3,0.1
E07000087,100.0,55.2,0.2
E07000088,100.0,47.8,0.2
E07000089,100.0,58.2,0.1
E07000090,100.0,49.5,0.1
E07000091,100.0,54.4,0.2
E07000092,100.0,49.5,0.2
E07000093,100.0,55.6,0.1
E07000094,100.0,52.5,0.2
E07000105,100.0,51.7,0.2
E07000106,100.0,43.0,0.2
E07000107,100.0,47.1,0.2
E07000108,100.0,48.3,0.3
E07000109,100.0,48.8,0.1
E07000110,100.0,51.3,0.2
E07000111,100.0,54.5,0.2
E07000112,100.0,46.9,0.3
E07000113,100.0,48.3,0.2
E07000114,100.0,44.1,0.2
E07000115,100.0,53.4,0.2
E07000116,100.0,50.1,0.1
E07000177,100.0,51.7,0.3
E07000178,100.0,32.9,0.3
E07000179,100.0,54.8,0.2
E07000180,100.0,54.7,0.2
E07000181,100.0,54.0,0.3
E07000207,100.0,55.1,0.2
E07000208,100.0,52.9,0.2
E07000209,100.0,49.4,0.2
E07000210,100.0,55.0,0.2
E07000211,100.0,51.5,0.2
E07000212,100.0,47.0,0.2
E07000213,100.0,49.9,0.2
E07000214,100.0,56.2,0.1
E07000215,100.0,52.8,0.2
E07000216,100.0,55.3,0.2
E07000217,100.0,53.6,0.2
E07000223,100.0,47.9,0.3
E07000224,100.0,50.0,0.3
E07000225,100.0,52.2,0.2
E07000226,100.0,46.7,0.2
E07000227,100.0,55.3,0.2
E07000228,100.0,53.6,0.2
E07000229,100.0,45.7,0.3
E06000022,100.0,45.7,0.2
E06000028,100.0,38.6,0.4
E06000023,100.0,36.3,0.3
E06000052,100.0,50.2,0.2
E06000053,100.0,53.5,0.0
E06000024,100.0,52.3,0.2
E06000026,100.0,42.9,0.2
E06000029,100.0,49.2,0.3
E06000025,100.0,51.9,0.1
E06000030,100.0,48.6,0.3
E06000027,100.0,46.6,0.3
E06000054,100.0,53.6,0.2
E07000040,100.0,54.4,0.2
E07000041,100.0,38.2,0.2
E07000042,100.0,53.8,0.2
E07000043,100.0,51.5,0.2
E07000044,100.0,54.1,0.2
E07000045,100.0,51.7,0.3
E07000046,100.0,53.3,0.2
E07000047,100.0,54.5,0.2
E07000048,100.0,53.2,0.2
E07000049,100.0,59.2,0.2
E07000050,100.0,54.7,0.2
E07000051,100.0,54.3,0.2
E07000052,100.0,53.8,0.2
E07000053,100.0,47.3,0.2
E07000078,100.0,42.6,0.2
E07000079,100.0,54.9,0.3
E07000080,100.0,53.2,0.2
E07000081,100.0,46.6,0.3
E07000082,100.0,53.0,0.3
E07000083,100.0,54.3,0.3
E07000187,100.0,50.5,0.1
E07000188,100.0,51.8,0.2
E07000189,100.0,53.1,0.2
E07000190,100.0,49.9,0.1
E07000191,100.0,51.7,0.2
W06000001,100.0,49.0,0.2
W06000002,100.0,43.9,0.1
W06000003,100.0,48.3,0.2
W06000004,100.0,48.1,0.2
W06000005,100.0,50.3,0.1
W06000006,100.0,47.8,0.1
