mnemonic,All usual residents,%,Area (Hectares),%,Density (number of persons per hectare),%
E09000017,273936,100.0,11569.87,-,23.7,-
E09000018,253957,100.0,5598.62,-,45.4,-
E09000021,160060,100.0,3724.69,-,43.0,-
E09000024,199693,100.0,3760.87,-,53.1,-
E09000026,278970,100.0,5641.14,-,49.5,-
E09000027,186990,100.0,5741.52,-,32.6,-
E09000029,190146,100.0,4385.02,-,43.4,-
E09000031,258249,100.0,3881.40,-,66.5,-
E06000036,113205,100.0,10938.54,-,10.3,-
E06000043,273369,100.0,8266.71,-,33.1,-
E06000046,138265,100.0,38016.10,-,3.6,-
E06000035,263925,100.0,19203.31,-,13.7,-
E06000042,248821,100.0,30862.53,-,8.1,-
E06000044,205056,100.0,4041.14,-,50.7,-
E06000038,155698,100.0,4039.86,-,38.5,-
E06000039,140205,100.0,3253.61,-,43.1,-
E06000045,236882,100.0,4988.93,-,47.5,-
E06000037,153822,100.0,70416.82,-,2.2,-
E06000040,144560,100.0,19650.96,-,7.4,-
E06000041,154380,100.0,17897.92,-,8.6,-
E07000004,174137,100.0,90275.35,-,1.9,-
E07000005,92635,100.0,19634.81,-,4.7,-
E07000006,66867,100.0,14127.52,-,4.7,-
E07000007,171644,100.0,32457.21,-,5.3,-
E07000061,99412,100.0,4415.89,-,22.5,-
E07000062,90254,100.0,2972.40,-,30.4,-
E07000063,97502,100.0,29207.10,-,3.3,-
E07000064,90588,100.0,50943.05,-,1.8,-
E07000065,148915,100.0,83316.94,-,1.8,-
E07000084,167799,100.0,63380.74,-,2.6,-
E07000085,115608,100.0,51444.15,-,2.2,-
E07000086,125199,100.0,7977.76,-,15.7,-
E07000087,111581,100.0,7423.27,-,15.0,-
E07000088,82622,100.0,2532.09,-,32.6,-
E07000089,91033,100.0,21526.53,-,4.2,-
E07000090,120684,100.0,5536.97,-,21.8,-
E07000091,176462,100.0,75313.48,-,2.3,-
E07000092,93807,100.0,3904.46,-,24.0,-
E07000093,116398,100.0,62757.99,-,1.9,-
E07000094,116595,100.0,66097.46,-,1.8,-
E07000105,117956,100.0,58061.67,-,2.0,-
E07000106,151145,100.0,30885.19,-,4.9,-
E07000107,97365,100.0,7276.85,-,13.4,-
E07000108,111674,100.0,31485.09,-,3.5,-
E07000109,101720,100.0,9901.87,-,10.3,-
E07000110,155143,100.0,39333.34,-,3.9,-
E07000111,114893,100.0,36919.86,-,3.1,-
E07000112,107969,100.0,35670.31,-,3.0,-
E07000113,135835,100.0,37338.55,-,3.6,-
E07000114,134186,100.0,10333.53,-,13.0,-
E07000115,120805,100.0,24013.56,-,5.0,-
E07000116,115049,100.0,33132.82,-,3.5,-
E07000177,141868,100.0,58876.86,-,2.4,-
E07000178,151906,100.0,4559.58,-,33.3,-
E07000179,134257,100.0,67853.37,-,2.0,-
E07000180,120988,100.0,57761.77,-,2.1,-
E07000181,104779,100.0,71439.93,-,1.5,-
E07000207,130875,100.0,9506.07,-,13.8,-
E07000208,75102,100.0,3407.29,-,22.0,-
E07000209,137183,100.0,27093.26,-,5.1,-
E07000210,85375,100.0,25832.26,-,3.3,-
E07000211,137835,100.0,12913.41,-,10.7,-
E07000212,80510,100.0,7804.32,-,10.3,-
E07000213,95598,100.0,4488.44,-,21.3,-
E07000214,86144,100.0,9509.28,-,9.1,-
E07000215,82998,100.0,24818.98,-,3.3,-
E07000216,121572,100.0,34516.93,-,3.5,-
E07000217,99198,100.0,6359.57,-,15.6,-
E07000223,61182,100.0,4180.71,-,14.6,-
E07000224,149518,100.0,22070.82,-,6.8,-
E07000225,113794,100.0,78623.08,-,1.4,-
E07000226,106597,100.0,4497.07,-,23.7,-
E07000227,131301,100.0,53027.07,-,2.5,-
E07000228,139860,100.0,33402.39,-,4.2,-
E07000229,104640,100.0,3248.21,-,32.2,-
E06000022,176016,100.0,34574.08,-,5.1,-
E06000028,183491,100.0,4617.88,-,39.7,-
E06000023,428234,100.0,10960.76,-,39.1,-
E06000052,532273,100.0,354618.74,-,1.5,-
