mnemonic,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
E07000031,18.9,12.0,15.4,4.6,11.8,33.4,3.9,2.6,2.1,1.0,0.1,0.9
E08000001,26.3,14.2,15.8,4.3,12.0,22.2,5.2,3.0,4.3,1.6,0.4,2.2
E08000002,22.6,14.1,17.2,3.5,12.3,25.7,4.7,2.9,3.5,1.4,0.3,1.8
E08000003,23.1,11.1,12.0,1.7,16.0,28.9,7.1,2.3,17.3,4.6,1.6,11.0
E08000004,29.6,14.6,15.8,4.2,11.7,18.6,5.5,3.1,4.1,1.4,0.5,2.1
E08000005,28.7,14.7,16.4,3.7,11.7,19.4,5.4,3.2,4.0,1.3,0.4,2.2
E08000006,27.1,13.9,15.4,3.4,12.6,22.3,5.3,2.5,6.9,2.7,0.9,3.3
E08000007,20.6,13.5,16.0,4.0,12.1,29.8,3.9,2.8,3.3,1.4,0.2,1.7
E08000008,28.1,16.1,17.3,4.5,12.1,17.5,4.5,2.8,3.2,1.2,0.3,1.6
E08000009,18.6,12.4,15.8,3.4,11.7,33.8,4.3,3.0,3.7,1.6,0.3,1.8
E08000010,27.3,15.3,17.1,4.7,12.2,19.5,3.8,2.6,2.9,1.3,0.3,1.3
E07000117,29.3,14.4,15.8,4.6,12.3,18.7,4.8,2.7,3.4,1.3,0.3,1.8
E07000118,21.2,13.4,16.2,4.8,12.6,27.8,3.8,2.5,2.6,1.3,0.2,1.2
E07000119,21.2,12.0,16.6,4.2,12.3,29.8,4.0,2.5,2.6,1.3,0.2,1.1
E07000120,28.0,13.8,16.2,5.5,12.5,18.9,4.9,2.9,3.6,1.6,0.4,1.6
E07000121,20.6,11.4,15.2,3.7,17.5,27.2,4.4,2.4,11.8,3.2,0.7,7.8
E07000122,28.2,13.3,15.1,4.8,12.5,20.2,5.8,2.7,3.5,1.4,0.3,1.7
E07000123,23.5,12.6,14.5,3.9,15.1,24.6,5.8,2.5,10.6,3.8,1.3,5.6
E07000124,18.3,11.1,15.3,5.0,12.5,34.0,3.7,3.0,2.8,1.4,0.1,1.2
E07000125,24.0,13.7,16.5,4.0,13.0,25.1,3.6,3.0,3.1,1.2,0.3,1.5
E07000126,20.3,13.5,16.6,5.8,13.7,26.4,3.6,2.6,2.9,1.5,0.2,1.2
E07000127,23.5,13.4,15.8,4.0,13.9,25.4,4.1,2.8,6.1,2.4,0.6,3.0
E07000128,25.9,13.4,16.6,4.8,12.0,23.0,4.2,2.7,3.2,1.5,0.2,1.4
E08000011,34.7,15.2,16.1,3.4,11.8,15.5,3.4,3.1,3.9,1.5,0.4,1.9
E08000012,28.7,12.5,14.2,2.5,15.2,22.4,4.4,2.5,11.9,3.4,1.2,7.3
