mnemonic,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
E07000151,12.5,3.3,9.2,23.4,13.2,11.2,7.0,12.0,11.7,2.9,1.8,1.1,6.0
E07000152,10.4,2.9,7.5,22.3,13.2,10.5,7.5,13.7,13.4,2.9,1.7,1.2,6.2
E07000153,9.3,2.6,6.8,21.3,13.4,9.4,7.7,15.2,14.4,3.8,2.3,1.5,5.6
E07000154,8.7,2.0,6.7,19.9,14.4,8.0,7.0,14.2,13.8,5.1,3.3,1.9,9.0
E07000155,14.0,3.7,10.3,25.4,14.4,12.1,6.5,11.3,8.8,1.9,1.1,0.8,5.5
E07000156,8.1,2.2,5.9,19.2,13.6,8.4,7.8,15.3,16.8,4.9,3.1,1.8,5.8
E07000170,6.0,1.8,4.1,16.3,12.3,8.2,9.6,17.8,19.1,5.3,3.4,1.9,5.4
E07000171,7.5,2.4,5.1,18.9,11.2,9.1,9.1,17.7,15.6,5.1,3.6,1.5,5.8
E07000172,12.3,2.6,9.7,21.0,13.4,7.9,7.6,14.1,11.6,3.8,2.3,1.5,8.3
E07000173,9.8,2.5,7.3,22.5,14.9,9.6,7.6,14.3,11.1,3.9,2.4,1.5,6.1
E07000174,5.8,1.9,4.0,17.3,11.9,8.0,9.3,17.8,18.5,5.6,3.8,1.8,5.7
E07000175,9.5,2.7,6.8,20.5,11.8,10.0,8.1,15.8,14.1,4.1,2.8,1.3,6.1
E07000176,18.0,3.8,14.2,26.5,12.7,9.4,5.4,9.9,6.8,2.6,1.6,1.0,8.7
E06000019,9.3,2.5,6.8,21.3,11.2,14.5,7.1,16.2,10.9,3.6,2.4,1.2,5.8
E06000051,9.8,2.7,7.2,22.0,12.1,13.1,7.4,15.2,10.8,3.4,2.2,1.3,6.1
E06000021,4.8,1.3,3.5,14.2,11.5,7.3,8.3,17.8,19.7,7.2,5.1,2.1,9.0
E06000020,8.3,2.2,6.0,18.7,12.5,7.4,8.5,17.2,14.2,5.5,3.6,1.9,7.7
E07000192,6.5,2.0,4.5,18.2,12.9,9.7,9.1,17.5,15.3,4.8,2.9,1.9,6.0
E07000193,8.9,2.4,6.5,19.1,11.6,9.0,8.3,16.7,15.0,5.0,3.7,1.4,6.3
E07000194,12.1,3.4,8.7,23.8,13.0,10.3,7.2,13.4,10.8,3.5,2.2,1.3,6.0
E07000195,8.6,2.1,6.5,18.3,12.2,8.2,7.7,15.4,14.3,3.9,2.5,1.4,11.4
E07000196,10.7,3.1,7.5,23.0,14.6,10.9,7.2,13.5,10.2,3.6,2.3,1.3,6.3
E07000197,11.7,3.0,8.7,23.8,13.4,9.1,7.0,13.1,10.2,3.4,2.2,1.2,8.3
E07000198,8.9,2.6,6.3,20.7,12.7,12.4,8.3,15.1,13.3,3.0,2.0,1.0,5.7
E07000199,7.3,2.1,5.3,18.2,13.9,7.6,9.0,17.8,15.8,4.4,2.5,1.8,6.0
E07000218,8.3,2.4,5.8,19.5,13.3,10.7,8.3,15.6,15.1,3.6,2.2,1.4,5.5
E07000219,7.2,1.9,5.2,18.3,13.8,7.3,8.7,17.0,16.5,5.0,3.1,1.9,6.2
E07000220,11.7,2.8,8.9,21.9,12.9,8.5,8.1,13.6,13.5,3.5,2.2,1.3,6.3
E07000221,14.7,3.8,10.9,24.7,12.6,12.8,6.4,12.2,8.4,2.3,1.4,0.9,5.8
E07000222,16.6,3.2,13.4,23.6,11.7,8.3,5.7,11.3,7.6,2.9,1.7,1.1,12.3
E08000025,7.8,1.4,6.4,16.2,11.3,6.9,6.1,14.2,11.4,12.4,9.5,2.9,13.7
E08000026,7.5,1.5,6.0,16.1,12.2,6.4,6.9,14.7,13.2,7.4,5.3,2.1,15.5
E08000027,7.5,2.2,5.3,18.5,14.2,8.3,7.7,17.0,13.9,6.4,4.0,2.4,6.6
E08000028,5.0,1.3,3.7,14.4,11.9,6.8,7.6,18.9,17.1,10.3,7.2,3.2,8.0
E08000029,13.4,3.2,10.2,22.8,14.8,8.6,6.4,13.3,9.1,4.6,2.9,1.7,7.0
E08000030,6.2,1.7,4.5,15.9,11.9,8.0,7.7,17.8,15.4,9.6,6.5,3.0,7.5
E08000031,6.0,1.5,4.5,15.8,11.2,6.9,7.1,18.0,15.4,10.0,6.5,3.5,9.4
E07000234,13.9,3.7,10.2,24.8,13.8,10.9,6.5,11.7,8.6,3.2,2.1,1.1,6.6
E07000235,13.3,3.1,10.2,24.2,11.4,13.7,6.2,12.8,8.4,3.1,2.0,1.2,6.9
E07000236,8.6,2.5,6.1,19.1,13.3,8.4,8.1,17.9,13.5,4.4,2.7,1.8,6.6
E07000237,10.1,2.2,7.9,21.8,12.5,7.5,7.2,15.3,11.3,4.4,2.7,1.7,9.9
E07000238,12.1,3.4,8.7,22.8,12.8,12.4,7.0,13.7,10.4,3.0,1.8,1.2,5.7
E07000239,8.6,2.6,6.0,20.3,12.2,10.3,7.8,16.3,14.4,4.6,2.9,1.8,5.4
E06000055,11.0,2.5,8.5,21.4,13.4,9.1,6.5,13.2,11.1,5.4,3.6,1.7,8.9
E06000056,12.0,3.1,8.9,23.9,14.8,10.5,7.2,12.2,9.6,3.1,1.7,1.3,6.8
E06000032,6.4,1.3,5.1,15.9,12.2,8.8,7.1,14.1,13.0,9.9,7.7,2.2,12.6
E06000031,8.2,2.0,6.2,18.1,14.2,7.5,7.6,16.0,15.2,6.8,4.9,1.9,6.4
E06000033,9.4,2.1,7.3,21.8,16.0,10.6,6.7,14.2,9.6,5.5,3.4,2.1,6.4
E06000034,6.8,1.7,5.1,18.8,15.4,9.2,8.6,16.0,13.6,5.6,3.4,2.2,6.1
E07000008,19.2,1.8,17.4,18.3,7.7,5.4,4.2,8.4,6.5,3.1,2.0,1.1,27.2
E07000009,13.0,3.1,9.9,23.1,13.0,11.5,7.4,13.8,10.2,2.7,1.6,1.1,5.2
E07000010,5.9,1.8,4.1,16.4,12.4,10.8,9.0,19.5,15.8,4.9,3.1,1.8,5.2
E07000011,12.7,3.5,9.2,23.7,14.5,9.1,7.4,13.6,10.1,3.1,1.9,1.2,5.7
E07000012,19.1,3.6,15.5,25.3,12.9,10.0,6.0,10.5,7.3,2.3,1.5,0.8,6.6
E07000066,9.0,2.1,6.9,20.1,16.7,10.2,7.1,14.9,11.5,4.9,2.9,2.0,5.7
E07000067,9.9,2.7,7.2,22.0,14.4,11.6,7.5,15.0,10.7,3.6,2.0,1.6,5.3
E07000068,15.2,3.5,11.7,26.1,16.9,10.9,5.2,10.1,6.2,3.0,1.8,1.2,6.5
E07000069,7.8,2.1,5.7,19.1,17.5,12.3,7.9,15.6,10.9,3.7,2.3,1.4,5.2
E07000070,13.4,2.9,10.4,24.7,16.1,9.6,6.1,12.3,8.0,3.1,1.8,1.3,6.8
E07000071,10.7,2.7,8.0,22.6,13.5,9.1,6.3,14.2,8.6,3.8,2.4,1.4,11.2
E07000072,12.2,3.2,9.1,23.3,15.8,13.9,5.7,10.9,7.8,3.8,2.3,1.4,6.6
E07000073,7.1,1.9,5.2,19.5,15.1,9.0,7.8,16.3,13.6,5.1,2.8,2.3,6.5
E07000074,11.1,3.0,8.1,22.7,14.4,13.8,7.0,13.9,9.3,3.0,1.7,1.2,5.0
E07000075,10.1,2.6,7.6,22.6,19.4,11.7,6.9,13.2,8.2,2.7,1.5,1.2,5.4
E07000076,6.1,1.7,4.3,18.0,13.3,12.2,8.1,18.6,12.8,5.6,3.5,2.0,5.3
E07000077,14.9,3.8,11.1,25.7,13.4,13.1,5.9,11.0,7.4,2.3,1.3,1.0,6.4
E07000095,8.5,2.3,6.3,19.9,16.4,12.2,7.1,13.9,10.8,4.3,2.6,1.7,6.9
E07000096,13.3,3.2,10.1,25.2,14.4,10.3,6.1,11.8,8.8,3.6,2.2,1.4,6.4
E07000242,15.6,3.8,11.7,26.4,14.4,10.8,5.9,10.2,7.5,2.5,1.5,1.0,6.6
E07000098,13.2,3.1,10.2,24.0,14.9,11.9,5.3,10.8,7.1,4.0,2.6,1.4,8.7
