mnemonic,White,Gypsy / Traveller / Irish Traveller,Mixed / Multiple ethnic group,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British,Other Ethnic Group
E07000111,95.4,0.3,1.5,0.6,0.1,0.1,0.4,0.5,0.7,0.2
E07000112,94.5,0.2,1.2,0.4,0.1,0.2,0.3,2.5,0.4,0.3
E07000113,96.0,0.5,1.2,0.4,0.1,0.2,0.2,0.3,1.0,0.2
E07000114,95.4,0.1,1.6,0.5,0.1,0.1,0.3,0.7,0.7,0.3
E07000115,95.6,0.3,1.4,0.6,0.1,0.2,0.4,0.6,0.3,0.3
E07000116,94.7,0.3,1.6,0.6,0.2,0.4,0.5,0.8,0.6,0.3
E07000177,92.1,0.1,1.8,1.2,1.7,0.1,0.5,0.8,1.4,0.4
E07000178,77.6,0.1,4.0,2.9,3.2,1.2,2.3,2.8,4.6,1.4
E07000179,96.0,0.1,1.3,0.6,0.1,0.1,0.3,0.6,0.6,0.2
E07000180,94.8,0.1,1.3,0.7,0.3,0.2,0.5,0.8,1.0,0.3
E07000181,96.7,0.2,1.2,0.3,0.1,0.1,0.3,0.5,0.4,0.2
E07000207,90.1,0.1,2.6,1.9,0.4,0.4,0.9,1.8,0.8,1.0
E07000208,85.7,0.2,2.6,2.4,0.9,0.4,1.2,3.7,1.5,1.4
E07000209,90.5,0.4,1.8,1.2,0.4,0.2,1.4,1.7,1.2,1.2
E07000210,94.9,0.1,1.5,0.8,0.2,0.2,0.4,0.9,0.5,0.4
E07000211,90.5,0.1,2.2,1.6,0.9,0.4,0.7,1.6,1.6,0.6
E07000212,88.7,0.3,2.1,2.5,0.5,0.3,1.5,2.2,1.1,1.0
E07000213,87.1,0.2,2.5,4.2,0.7,0.3,0.6,1.8,1.6,1.0
E07000214,90.0,0.2,1.9,2.0,0.8,0.3,0.6,2.5,1.0,0.7
E07000215,93.5,0.3,2.2,0.9,0.2,0.1,0.5,0.9,1.1,0.3
E07000216,95.9,0.1,1.3,0.4,0.2,0.1,0.5,0.6,0.4,0.3
E07000217,83.4,0.2,2.4,2.3,5.7,0.5,0.9,2.1,1.4,1.1
E07000223,95.7,0.2,1.4,0.4,0.1,0.4,0.4,0.4,0.5,0.4
E07000224,96.9,0.1,1.0,0.3,0.1,0.2,0.3,0.5,0.4,0.2
E07000225,96.7,0.2,1.0,0.4,0.0,0.1,0.3,0.6,0.5,0.2
E07000226,79.8,0.1,2.9,5.2,4.3,0.4,0.5,2.6,3.3,1.0
E07000227,95.8,0.2,1.4,0.6,0.1,0.2,0.4,0.8,0.5,0.2
E07000228,95.0,0.1,1.4,1.0,0.1,0.3,0.4,0.9,0.6,0.2
E07000229,93.7,0.1,1.8,0.7,0.2,0.5,0.5,1.3,0.8,0.4
E06000022,94.5,0.0,1.6,0.6,0.1,0.1,1.1,0.7,0.8,0.4
E06000028,91.9,0.1,2.3,1.1,0.1,0.2,1.0,1.5,1.0,0.9
E06000023,83.9,0.1,3.6,1.5,1.6,0.5,0.9,1.0,6.0,0.9
E06000052,98.1,0.1,0.8,0.2,0.0,0.1,0.2,0.2,0.1,0.2
E06000053,98.8,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.1,0.2
E06000024,97.2,0.1,1.0,0.4,0.1,0.1,0.3,0.3,0.3,0.2
E06000026,96.1,0.1,1.3,0.3,0.1,0.1,0.5,0.5,0.7,0.4
E06000029,95.7,0.1,1.3,0.7,0.1,0.3,0.5,0.7,0.4,0.3
E06000025,94.9,0.1,1.4,1.0,0.3,0.1,0.5,0.6,0.8,0.3
E06000030,89.8,0.1,2.0,3.3,0.6,0.4,0.5,1.6,1.4,0.4
E06000027,97.5,0.0,1.1,0.3,0.1,0.1,0.2,0.4,0.2,0.2
E06000054,96.4,0.2,1.2,0.3,0.0,0.1,0.3,0.6,0.7,0.2
E07000040,98.3,0.1,0.7,0.2,0.0,0.1,0.2,0.3,0.1,0.1
E07000041,93.0,0.1,1.6,0.8,0.1,0.2,1.7,1.1,0.6,0.8
E07000042,98.5,0.1,0.6,0.1,0.0,0.0,0.2,0.2,0.1,0.1
E07000043,97.9,0.0,0.8,0.2,0.1,0.1,0.2,0.3,0.2,0.2
E07000044,98.3,0.1,0.8,0.1,0.0,0.1,0.1,0.2,0.1,0.1
E07000045,98.2,0.1,0.7,0.1,0.0,0.1,0.3,0.2,0.1,0.1
E07000046,98.6,0.1,0.7,0.1,0.0,0.0,0.2,0.1,0.1,0.1
E07000047,98.4,0.0,0.8,0.1,0.0,0.0,0.2,0.2,0.1,0.1
E07000048,97.5,0.1,1.1,0.2,0.0,0.1,0.4,0.4,0.2,0.2
E07000049,98.1,0.2,0.7,0.2,0.0,0.2,0.2,0.2,0.1,0.1
E07000050,97.5,0.1,0.8,0.2,0.0,0.1,0.2,0.7,0.3,0.1
E07000051,98.4,0.2,0.7,0.1,0.0,0.1,0.1,0.2,0.1,0.1
E07000052,97.9,0.1,0.8,0.2,0.1,0.1,0.2,0.3,0.2,0.1
E07000053,97.3,0.1,1.0,0.1,0.0,0.1,0.3,0.4,0.5,0.1
E07000078,94.2,0.1,1.6,1.4,0.2,0.3,0.7,0.7,0.6,0.3
E07000079,97.7,0.1,0.8,0.3,0.0,0.0,0.3,0.4,0.3,0.1
E07000080,98.4,0.1,0.6,0.2,0.0,0.0,0.2,0.2,0.2,0.1
E07000081,89.0,0.1,2.9,2.6,0.5,0.4,0.4,0.9,2.9,0.3
E07000082,97.9,0.1,1.1,0.2,0.0,0.0,0.2,0.3,0.2,0.1
E07000083,97.1,0.4,0.9,0.5,0.1,0.1,0.2,0.3,0.3,0.1
E07000187,97.7,0.2,0.9,0.2,0.0,0.1,0.2,0.3,0.2,0.1
E07000188,98.3,0.1,0.8,0.1,0.0,0.1,0.1,0.2,0.1,0.1
E07000189,98.0,0.1,0.7,0.2,0.1,0.1,0.2,0.3,0.2,0.1
E07000190,97.0,0.2,0.9,0.3,0.1,0.1,0.4,0.6,0.3,0.2
E07000191,98.7,0.0,0.6,0.1,0.0,0.1,0.1,0.3,0.1,0.1
W06000001,98.1,0.1,0.7,0.2,0.0,0.1,0.2,0.2,0.1,0.3
W06000002,96.3,0.1,0.8,0.4,0.2,0.1,0.7,0.3,0.2,0.7
W06000003,97.6,0.1,0.8,0.3,0.1,0.1,0.3,0.3,0.2,0.3
W06000004,97.3,0.0,0.8,0.3,0.2,0.1,0.4,0.6,0.2,0.1
W06000005,98.4,0.1,0.6,0.2,0.1,0.1,0.2,0.2,0.1,0.1
W06000006,96.8,0.1,0.7,0.6,0.1,0.2,0.3,0.5,0.5,0.2
W06000023,98.3,0.1,0.6,0.1,0.0,0.1,0.1,0.6,0.1,0.1
W06000008,96.6,0.1,1.0,0.5,0.1,0.1,0.4,0.3,0.4,0.5
W06000009,97.7,0.4,0.6,0.3,0.1,0.1,0.2,0.4,0.1,0.2
W06000010,97.9,0.2,0.6,0.3,0.1,0.1,0.2,0.4,0.2,0.2
W06000011,94.0,0.0,0.9,0.6,0.2,0.8,0.9,0.7,0.8,1.0
W06000012,98.0,0.1,0.7,0.2,0.1,0.2,0.2,0.3,0.2,0.1
W06000013,97.7,0.0,0.7,0.2,0.1,0.1,0.3,0.4,0.2,0.2
W06000014,96.4,0.0,1.3,0.4,0.2,0.1,0.4,0.5,0.4,0.3
W06000015,84.5,0.2,2.9,2.3,1.8,1.4,1.2,1.3,2.4,2.0
W06000016,97.3,0.0,0.6,0.3,0.1,0.0,0.5,0.4,0.6,0.1
W06000024,97.5,0.1,0.8,0.3,0.1,0.1,0.2,0.5,0.2,0.2
W06000018,98.3,0.0,0.7,0.2,0.1,0.0,0.3,0.2,0.1,0.1
W06000019,98.4,0.1,0.6,0.3,0.1,0.0,0.2,0.1,0.1,0.1
W06000020,97.8,0.2,0.7,0.2,0.1,0.1,0.2,0.5,0.2,0.1
W06000021,98.0,0.0,0.7,0.3,0.1,0.0,0.2,0.4,0.2,0.1
W06000022,89.8,0.1,1.9,0.8,2.1,1.2,0.4,0.9,1.7,1.0
S12000033,91.8,0.1,0.7,1.5,0.5,0.3,1.0,1.0,2.5,0.6
S12000034,98.4,0.1,0.3,0.2,0.1,0.1,0.2,0.3,0.3,0.1
S12000041,98.5,0.2,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.1
S12000035,98.6,0.1,0.3,0.1,0.1,0.0,0.2,0.2,0.2,0.1
S12000005,98.3,0.1,0.2,0.2,0.6,0.0,0.2,0.1,0.2,0.0
S12000006,98.8,0.1,0.3,0.2,0.1,0.0,0.2,0.2,0.1,0.1
S12000042,94.0,0.1,0.5,1.0,1.4,0.2,0.9,0.5,1.0,0.6
S12000008,98.8,0.0,0.2,0.2,0.2,0.0,0.3,0.1,0.1,0.1
S12000045,95.8,0.0,0.4,1.5,0.7,0.0,0.7,0.4,0.2,0.3
S12000010,98.3,0.0,0.4,0.3,0.3,0.0,0.2,0.1,0.3,0.1
S12000011,94.1,0.0,0.4,1.2,3.1,0.0,0.5,0.3,0.2,0.3
S12000036,91.6,0.1,0.9,1.4,1.2,0.3,1.7,1.0,1.2,0.8
S12000013,99.1,0.0,0.2,0.1,0.1,0.0,0.0,0.2,0.1,0.1
S12000014,98.0,0.1,0.2,0.3,0.7,0.0,0.2,0.1,0.2,0.1
S12000015,97.5,0.1,0.3,0.3,0.5,0.0,0.5,0.3,0.3,0.1
S12000046,88.4,0.1,0.5,1.5,3.8,0.1,1.8,0.9,2.4,0.6
S12000017,98.5,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.1
S12000018,98.6,0.0,0.2,0.3,0.2,0.0,0.2,0.1,0.2,0.1
S12000019,98.1,0.1,0.3,0.2,0.4,0.0,0.2,0.2,0.3,0.1
S12000020,98.8,0.1,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.1
S12000021,98.9,0.0,0.2,0.2,0.1,0.0,0.2,0.1,0.1,0.1
S12000044,97.9,0.1,0.2,0.3,0.9,0.0,0.3,0.1,0.2,0.1
S12000023,99.3,0.0,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1
S12000024,97.7,0.3,0.3,0.4,0.2,0.0,0.3,0.3,0.3,0.2
S12000038,97.2,0.0,0.2,0.6,0.6,0.0,0.5,0.2,0.5,0.2
S12000026,98.7,0.1,0.3,0.2,0.1,0.0,0.2,0.2,0.3,0.1
S12000027,98.4,0.0,0.3,0.1,0.2,0.1,0.3,0.3,0.1,0.1
S12000028,98.7,0.1,0.3,0.2,0.1,0.0,0.2,0.1,0.1,0.1
S12000029,97.6,0.1,0.2,0.4,0.7,0.0,0.3,0.2,0.3,0.1
S12000030,96.8,0.1,0.4,0.4,0.3,0.0,1.1,0.5,0.3,0.2
S12000039,98.3,0.1,0.2,0.3,0.3,0.0,0.2,0.2,0.3,0.1
S12000040,97.5,0.0,0.3,0.4,0.8,0.0,0.3,0.2,0.3,0.1
95AA,97.9,0.0,0.4,0.7,0.1,0.0,0.3,0.3,0.3,0.1
95BB,99.0,0.0,0.3,0.1,0.0,0.2,0.2,0.2,0.1,0.1
95CC,99.1,0.1,0.2,0.2,0.0,0.0,0.2,0.1,0.0,0.1
95DD,98.9,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.1,0.1
95EE,99.5,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0
95FF,99.2,0.0,0.2,0.1,0.0,0.0,0.2,0.1,0.0,0.1
95GG,96.4,0.1,0.5,0.8,0.1,0.1,0.8,0.7,0.4,0.2
95HH,98.7,0.0,0.4,0.2,0.0,0.0,0.2,0.2,0.1,0.1
95II,97.1,0.0,0.5,0.5,0.1,0.1,0.7,0.7,0.2,0.2
95JJ,98.5,0.0,0.3,0.2,0.1,0.0,0.4,0.2,0.1,0.1
95KK,99.1,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.3,0.0
95LL,97.9,0.1,0.4,0.3,0.2,0.0,0.4,0.4,0.3,0.1
95MM,98.3,0.1,0.4,0.6,0.0,0.0,0.2,0.2,0.2,0.1
95NN,98.8,0.0,0.3,0.2,0.0,0.0,0.2,0.1,0.2,0.1
95OO,97.5,0.4,0.4,0.2,0.0,0.0,0.2,0.2,0.6,0.4
95PP,99.0,0.1,0.2,0.2,0.1,0.0,0.1,0.2,0.0,0.1
95QQ,99.4,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.0,0.0
95RR,99.3,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.1
95SS,98.3,0.1,0.4,0.4,0.0,0.0,0.3,0.2,0.2,0.1
95TT,99.2,0.0,0.2,0.1,0.0,0.0,0.2,0.1,0.0,0.1
95UU,99.2,0.0,0.2,0.2,0.0,0.0,0.2,0.1,0.0,0.1
95VV,99.0,0.2,0.2,0.1,0.0,0.0,0.2,0.1,0.1,0.1
95WW,97.9,0.0,0.4,0.5,0.1,0.0,0.6,0.3,0.1,0.1
95XX,98.1,0.0,0.5,0.3,0.1,0.1,0.3,0.2,0.3,0.1
95YY,99.1,0.2,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.1
95ZZ,99.2,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.1
