
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 27 April 2016]"
"Date       :","2014"
"Gender     :","Total"

"Area","mnemonic","All Ages","Aged 18 to 24","Aged 25 to 49","Aged 50 to 64","Aged 65+"
"ualad14:Harborough","E07000131",88008,5871,27130,18411,17995
"ualad14:Hinckley and Bosworth","E07000132",107722,7619,34393,22194,22096
"ualad14:Melton","E07000133",50969,3659,15608,10929,10451
"ualad14:North West Leicestershire","E07000134",95882,7249,30948,19177,18445
"ualad14:Oadby and Wigston","E07000135",55928,5847,16508,10674,11708
"ualad14:Boston","E07000136",66458,5115,21389,12646,13779
"ualad14:East Lindsey","E07000137",137623,8914,35150,30553,38982
"ualad14:Lincoln","E07000138",96202,16649,31734,15615,14295
"ualad14:North Kesteven","E07000139",111046,7446,34278,22089,25140
"ualad14:South Holland","E07000140",90419,6223,27310,17890,21615
"ualad14:South Kesteven","E07000141",137981,9490,42211,28715,29141
"ualad14:West Lindsey","E07000142",91787,6606,25966,20073,21123
"ualad14:Corby","E07000150",65434,5206,23474,11976,9155
"ualad14:Daventry","E07000151",79036,5532,24588,17066,15281
"ualad14:East Northamptonshire","E07000152",88872,6102,28176,17787,17237
"ualad14:Kettering","E07000153",96945,7126,33066,17735,17137
"ualad14:Northampton","E07000154",219495,20592,79973,36874,31532
"ualad14:South Northamptonshire","E07000155",88164,5716,27620,18562,17245
"ualad14:Wellingborough","E07000156",76446,5373,25098,14430,14041
"ualad14:Ashfield","E07000170",122508,10012,40198,23673,22555
"ualad14:Bassetlaw","E07000171",114143,8864,35058,23879,23453
"ualad14:Broxtowe","E07000172",111780,9106,37025,21692,22347
"ualad14:Gedling","E07000173",115638,8766,37186,23256,23080
"ualad14:Mansfield","E07000174",105893,8698,34987,20944,19513
"ualad14:Newark and Sherwood","E07000175",117758,9163,36125,24071,24471
"ualad14:Rushcliffe","E07000176",113670,9022,35644,22593,22931
"ualad14:Herefordshire, County of","E06000019",187160,13415,55757,38759,43188
"ualad14:Shropshire","E06000051",310121,22856,92053,64567,70883
"ualad14:Stoke-on-Trent","E06000021",251027,25121,84002,44363,41770
"ualad14:Telford and Wrekin","E06000020",169440,15467,56574,31155,27234
"ualad14:Cannock Chase","E07000192",98549,8288,33336,18944,17533
"ualad14:East Staffordshire","E07000193",115663,9362,38054,22175,21122
"ualad14:Lichfield","E07000194",102093,7341,31187,20563,23129
"ualad14:Newcastle-under-Lyme","E07000195",126052,14073,39095,24181,24830
"ualad14:South Staffordshire","E07000196",110692,8734,32979,23704,25244
"ualad14:Stafford","E07000197",132241,11103,41346,26619,28060
"ualad14:Staffordshire Moorlands","E07000198",97763,6862,28823,21045,22866
"ualad14:Tamworth","E07000199",77112,6170,26295,14553,12946
"ualad14:North Warwickshire","E07000218",62468,4606,19480,13163,12929
"ualad14:Nuneaton and Bedworth","E07000219",126174,10275,41597,24072,23182
"ualad14:Rugby","E07000220",102500,7010,34437,18918,19240
"ualad14:Stratford-on-Avon","E07000221",121056,7320,34717,25845,30103
"ualad14:Warwick","E07000222",139396,16316,46378,24759,24985
"ualad14:Birmingham","E08000025",1101360,134258,379052,161928,143891
"ualad14:Coventry","E08000026",337428,47461,116667,50434,48743
"ualad14:Dudley","E08000027",315799,25408,101672,58261,62575
"ualad14:Sandwell","E08000028",316719,28289,110984,51220,48523
"ualad14:Solihull","E08000029",209890,16088,64424,40669,43272
"ualad14:Walsall","E08000030",274173,23974,89235,47632,48753
"ualad14:Wolverhampton","E08000031",252987,23770,86366,42820,42373
"ualad14:Bromsgrove","E07000234",95485,7015,28983,19599,20865
"ualad14:Malvern Hills","E07000235",75911,5190,19767,16657,20165
"ualad14:Redditch","E07000236",84471,6651,29142,16349,13698
"ualad14:Worcester","E07000237",100842,11702,34616,17357,16144
"ualad14:Wychavon","E07000238",119752,7904,34863,25874,28193
"ualad14:Wyre Forest","E07000239",98960,7039,30053,19528,23136
"ualad14:Bedford","E06000055",163924,13692,55131,29811,27910
"ualad14:Central Bedfordshire","E06000056",269076,19769,92375,52603,45714
"ualad14:Luton","E06000032",210962,20955,78562,31235,25493
"ualad14:Peterborough","E06000031",190461,15861,69540,31189,27264
"ualad14:Southend-on-Sea","E06000033",177931,13928,60340,31871,33576
"ualad14:Thurrock","E06000034",163270,13476,60166,27186,22349
"ualad14:Cambridge","E07000008",128515,25664,48333,17037,15613
"ualad14:East Cambridgeshire","E07000009",86685,5458,29411,16365,16360
"ualad14:Fenland","E07000010",97732,7392,30029,19491,21360
"ualad14:Huntingdonshire","E07000011",173605,12347,58264,34086,31960
"ualad14:South Cambridgeshire","E07000012",153281,9779,51654,29479,28246
"ualad14:Basildon","E07000066",180521,14679,61449,32515,30811
"ualad14:Braintree","E07000067",149985,11021,49082,29050,28215
"ualad14:Brentwood","E07000068",75645,5551,24467,14741,15269
"ualad14:Castle Point","E07000069",88907,7101,25412,17997,21554
"ualad14:Chelmsford","E07000070",171633,13756,58149,32055,31893
"ualad14:Colchester","E07000071",180420,19776,61326,30814,30914
"ualad14:Epping Forest","E07000072",128777,9963,42418,24719,24972
"ualad14:Harlow","E07000073",84564,6950,29538,14981,13006
"ualad14:Maldon","E07000074",62767,4376,18018,13833,14503
"ualad14:Rochford","E07000075",84776,6526,25470,16996,18914
"ualad14:Tendring","E07000076",139916,9887,34948,28326,40702
"ualad14:Uttlesford","E07000077",84042,5854,26360,17051,15785
"ualad14:Broxbourne","E07000095",95748,7539,32734,17059,16799
"ualad14:Dacorum","E07000096",149741,10846,52030,28491,24890
"ualad14:East Hertfordshire","E07000242",143021,9709,49598,27528,24226
"ualad14:Hertsmere","E07000098",102427,7627,34478,18622,18073
"ualad14:North Hertfordshire","E07000099",131046,8759,45405,24301,23833
"ualad14:St Albans","E07000240",144834,8754,51455,25565,23763
"ualad14:Stevenage","E07000243",85997,7367,30551,15589,12966
"ualad14:Three Rivers","E07000102",90423,6256,30324,17085,16164
"ualad14:Watford","E07000103",95505,7212,38574,14729,12131
"ualad14:Welwyn Hatfield","E07000241",116024,15884,38711,18995,18398
"ualad14:Breckland","E07000143",133986,9944,39894,26019,31726
"ualad14:Broadland","E07000144",125961,8248,36989,26117,31114
"ualad14:Great Yarmouth","E07000145",98172,8136,28823,19069,22517
"ualad14:King`s Lynn and West Norfolk","E07000146",150026,10683,43624,29806,37129
"ualad14:North Norfolk","E07000147",102867,6355,25179,22690,32103
"ualad14:Norwich","E07000148",137472,21412,50028,19956,20320
"ualad14:South Norfolk","E07000149",129226,8081,38331,26006,30330
"ualad14:Babergh","E07000200",88845,5633,25102,18593,21716
"ualad14:Forest Heath","E07000201",62812,5795,21957,10446,10870
"ualad14:Ipswich","E07000202",134966,12259,48143,23121,21430
"ualad14:Mid Suffolk","E07000203",99121,6567,29200,20887,22515
"ualad14:St Edmundsbury","E07000204",112073,8328,36446,20720,23724
"ualad14:Suffolk Coastal","E07000205",124776,7667,33352,26925,32443
"ualad14:Waveney","E07000206",115919,8378,32149,22683,30131
"ualad14:Camden","E09000007",234846,28412,103227,31824,27239
"ualad14:City of London","E09000001",8072,536,3727,1578,1276
"ualad14:Hackney","E09000012",263150,22605,130718,30969,18875
"ualad14:Hammersmith and Fulham","E09000013",178365,16085,86200,24315,17988
"ualad14:Haringey","E09000014",267541,23095,122806,37222,24649
"ualad14:Islington","E09000019",221030,27021,107227,28068,19618
"ualad14:Kensington and Chelsea","E09000020",156190,12004,68371,26255,21791
"ualad14:Lambeth","E09000022",318216,27895,162217,41181,24762
"ualad14:Lewisham","E09000023",291933,25912,129783,42084,27375
"ualad14:Newham","E09000025",324322,35865,143998,39379,22543
"ualad14:Southwark","E09000028",302538,32952,142342,41566,23976
"ualad14:Tower Hamlets","E09000030",284015,33599,142679,27820,17091
"ualad14:Wandsworth","E09000032",312145,23435,162182,38018,28807
"ualad14:Westminster","E09000033",233292,20051,110892,34149,27506
"ualad14:Barking and Dagenham","E09000002",198294,17836,74770,26926,19656
"ualad14:Barnet","E09000003",374915,30389,146215,58600,51728
"ualad14:Bexley","E09000004",239865,21320,80794,42383,39823
"ualad14:Brent","E09000005",320762,28585,132421,50195,35545
"ualad14:Bromley","E09000006",321278,22294,113673,57497,56341
"ualad14:Croydon","E09000008",376040,30975,139517,64622,48576
"ualad14:Ealing","E09000009",342118,27326,141878,53137,39521
"ualad14:Enfield","E09000010",324574,28157,121038,51784,41596
"ualad14:Greenwich","E09000011",268678,25263,112274,38286,28179
"ualad14:Harrow","E09000015",246011,19041,91638,42337,36353
"ualad14:Havering","E09000016",245974,21079,80857,45198,45582
"ualad14:Hillingdon","E09000017",292690,30217,108880,45905,38481
"ualad14:Hounslow","E09000018",265568,22595,111764,40165,29548
"ualad14:Kingston upon Thames","E09000021",169958,17561,66607,26526,22504
"ualad14:Merton","E09000024",203515,14043,87998,31195,24639
"ualad14:Redbridge","E09000026",293055,24859,113170,45025,35648
"ualad14:Richmond upon Thames","E09000027",193585,11666,76559,33357,28298
"ualad14:Sutton","E09000029",198134,14370,74502,34049,29897
"ualad14:Waltham Forest","E09000031",268020,23663,113881,38669,27511
"ualad14:Bracknell Forest","E06000036",118025,8692,43864,21646,16000
"ualad14:Brighton and Hove","E06000043",281076,40121,108957,43325,37722
"ualad14:Isle of Wight","E06000046",139105,9857,38124,29270,36312
"ualad14:Medway","E06000035",274015,27259,93622,48778,41820
"ualad14:Milton Keynes","E06000042",259245,18458,98258,45015,32285
"ualad14:Portsmouth","E06000044",209085,31263,72598,32393,29471
"ualad14:Reading","E06000038",160825,19456,63570,22720,19229
"ualad14:Slough","E06000039",144575,11314,59028,20748,13618
"ualad14:Southampton","E06000045",245290,41815,86268,35980,32644
"ualad14:West Berkshire","E06000037",155732,10459,51637,30952,27053
"ualad14:Windsor and Maidenhead","E06000040",147400,9212,51380,26804,26607
"ualad14:Wokingham","E06000041",159097,10567,54071,30534,27061
"ualad14:Aylesbury Vale","E07000004",184560,13694,62713,35567,30179
"ualad14:Chiltern","E07000005",93972,5661,27478,19269,19809
"ualad14:South Bucks","E07000006",68512,4286,21331,13901,14268
"ualad14:Wycombe","E07000007",174878,14567,58873,31375,30042
"ualad14:Eastbourne","E07000061",101547,8449,30445,18537,24383
"ualad14:Hastings","E07000062",91093,7637,29385,17625,17136
"ualad14:Lewes","E07000063",100229,6738,28750,20563,24452
"ualad14:Rother","E07000064",92130,5730,22069,19815,28401
"ualad14:Wealden","E07000065",154767,10009,42606,32921,38723
"ualad14:Basingstoke and Deane","E07000084",172870,12040,61383,32493,28015
"ualad14:East Hampshire","E07000085",117483,8213,34054,25104,25497
"ualad14:Eastleigh","E07000086",128877,9693,43045,24945,23449
"ualad14:Fareham","E07000087",114331,8469,34978,23139,25498
"ualad14:Gosport","E07000088",84287,7059,27283,15972,15923
"ualad14:Hart","E07000089",93325,5939,31182,17904,17289
"ualad14:Havant","E07000090",122210,9906,35271,24412,27846
"ualad14:New Forest","E07000091",178907,11679,48284,37437,48683
"ualad14:Rushmoor","E07000092",95296,8373,36867,15902,12945
"ualad14:Test Valley","E07000093",119332,8281,37014,24548,24484
"ualad14:Winchester","E07000094",119218,11491,35392,23038,24258
"ualad14:Ashford","E07000105",123285,9377,39532,22729,23000
"ualad14:Canterbury","E07000106",157649,27297,42851,26819,31583
"ualad14:Dartford","E07000107",102234,8173,37982,17199,15196
"ualad14:Dover","E07000108",113066,8551,32912,23347,25341
"ualad14:Gravesham","E07000109",105261,8960,35544,18572,17773
"ualad14:Maidstone","E07000110",161819,12316,54215,30104,30183
"ualad14:Sevenoaks","E07000111",117811,7670,36719,23260,24171
"ualad14:Shepway","E07000112",109452,8288,32431,21891,25401
"ualad14:Swale","E07000113",140836,11376,44567,27001,26089
"ualad14:Thanet","E07000114",138410,11306,39559,26472,31329
"ualad14:Tonbridge and Malling","E07000115",124426,9139,39910,23426,23058
"ualad14:Tunbridge Wells","E07000116",116105,7592,39038,21476,21379
"ualad14:Cherwell","E07000177",144494,10235,50551,26939,24533
"ualad14:Oxford","E07000178",157997,32644,57268,20282,17817
"ualad14:South Oxfordshire","E07000179",137015,9064,44373,26791,27261
"ualad14:Vale of White Horse","E07000180",124852,8510,40761,24382,24403
"ualad14:West Oxfordshire","E07000181",108158,7321,35542,21135,21551
"ualad14:Elmbridge","E07000207",132769,7101,44566,24846,23438
"ualad14:Epsom and Ewell","E07000208",78318,6129,26270,14423,13852
"ualad14:Guildford","E07000209",142958,17157,48634,24715,23461
"ualad14:Mole Valley","E07000210",86234,5281,25655,17933,19338
"ualad14:Reigate and Banstead","E07000211",143094,9432,49901,26439,25326
"ualad14:Runnymede","E07000212",84584,11066,27712,14923,14598
"ualad14:Spelthorne","E07000213",98106,7095,34293,18374,17975
"ualad14:Surrey Heath","E07000214",87533,6014,29054,17107,16161
"ualad14:Tandridge","E07000215",85374,5761,26986,17175,17089
"ualad14:Waverley","E07000216",122860,8165,37016,23568,26229
"ualad14:Woking","E07000217",99426,6074,36404,17768,16166
"ualad14:Adur","E07000223",63176,4279,19650,11959,14607
"ualad14:Arun","E07000224",154414,10694,42834,30002,43316
"ualad14:Chichester","E07000225",115527,9223,30586,23797,30550
"ualad14:Crawley","E07000226",109883,8388,42853,18290,14400
"ualad14:Horsham","E07000227",134158,8531,40368,28132,28905
"ualad14:Mid Sussex","E07000228",144377,9232,47026,27900,28499
"ualad14:Worthing","E07000229",106863,7316,34598,19937,23692
"ualad14:Bath and North East Somerset","E06000022",182021,25989,54531,32445,34639
"ualad14:Bournemouth","E06000028",191390,23288,68095,31365,34446
"ualad14:Bristol, City of","E06000023",442474,59331,167903,64612,58769
"ualad14:Cornwall","E06000052",545335,42501,155420,113440,129102
"ualad14:Isles of Scilly","E06000053",2280,150,700,477,569
"ualad14:North Somerset","E06000024",208154,13639,63253,40992,47795
"ualad14:Plymouth","E06000026",261546,34423,84079,45733,45602
"ualad14:Poole","E06000029",150109,10926,48059,28522,32892
"ualad14:South Gloucestershire","E06000025",271556,23803,90803,50393,49498
"ualad14:Swindon","E06000030",215799,16519,79164,39275,32237
"ualad14:Torbay","E06000027",132984,9587,37155,27358,33813
"ualad14:Wiltshire","E06000054",483143,34729,152091,95565,96798
"ualad14:East Devon","E07000040",136374,8472,34949,28126,40508
"ualad14:Exeter","E07000041",124328,22247,41651,19032,19632
"ualad14:Mid Devon","E07000042",79198,5440,22914,16531,17718
"ualad14:North Devon","E07000043",94059,6677,26787,19375,22884
"ualad14:South Hams","E07000044",84108,5134,21803,19658,22167
"ualad14:Teignbridge","E07000045",127357,8315,35592,27595,32236
"ualad14:Torridge","E07000046",65618,4417,17506,14690,16783
"ualad14:West Devon","E07000047",54260,3226,14600,12477,14009
"ualad14:Christchurch","E07000048",48895,3062,12594,9284,15224
"ualad14:East Dorset","E07000049",88186,5442,21670,18867,26802
"ualad14:North Dorset","E07000050",70043,4837,19881,14322,16872
"ualad14:Purbeck","E07000051",45679,3080,12268,9928,11986
"ualad14:West Dorset","E07000052",100474,5956,25054,22296,28929
"ualad14:Weymouth and Portland","E07000053",64992,5002,18587,13819,15273
"ualad14:Cheltenham","E07000078",116495,11759,40281,20514,21017
"ualad14:Cotswold","E07000079",84637,6034,23660,18497,20583
"ualad14:Forest of Dean","E07000080",83674,6578,23548,18265,19181
"ualad14:Gloucester","E07000081",125649,11207,43891,22446,19909
"ualad14:Stroud","E07000082",115093,7817,34687,24658,24542
"ualad14:Tewkesbury","E07000083",85784,5654,26802,17429,18567
"ualad14:Mendip","E07000187",110844,7886,32420,23348,24012
"ualad14:Sedgemoor","E07000188",119057,8895,34692,24757,26324
"ualad14:South Somerset","E07000189",164569,11691,47373,33655,38985
"ualad14:Taunton Deane","E07000190",112817,8427,34487,22278,24564
"ualad14:West Somerset","E07000191",34322,2219,7894,7870,10933
"ualad14:Anglesey","W06000001",70169,5040,19941,14589,16963
"ualad14:Gwynedd","W06000002",122273,14095,34076,23127,27285
"ualad14:Conwy","W06000003",116287,8131,31904,24087,30442
"ualad14:Denbighshire","W06000004",94791,7393,26875,19357,21712
"ualad14:Flintshire","W06000005",153804,12173,48849,30316,30306
"ualad14:Wrexham","W06000006",136714,11125,44901,25814,25435
"ualad14:Powys","W06000023",132675,9248,35606,29070,33592
"ualad14:Ceredigion","W06000008",75425,13102,17910,14742,17121
"ualad14:Pembrokeshire","W06000009",123666,9507,34096,25890,29507
"ualad14:Carmarthenshire","W06000010",184898,14517,53414,38375,41523
"ualad14:Swansea","W06000011",241297,28523,75694,43784,46266
"ualad14:Neath Port Talbot","W06000012",140490,11241,44448,28806,28095
"ualad14:Bridgend","W06000013",141214,11029,46150,27597,27402
"ualad14:The Vale of Glamorgan","W06000014",127685,9802,39507,25807,25546
"ualad14:Cardiff","W06000015",354294,53330,122838,56250,48789
"ualad14:Rhondda, Cynon, Taff","W06000016",236888,22676,76333,44267,43635
"ualad14:Merthyr Tydfil","W06000024",59065,5229,19253,11530,10575
"ualad14:Caerphilly","W06000018",179941,15030,58915,34468,32686
"ualad14:Blaenau Gwent","W06000019",69674,6275,22645,13417,13385
"ualad14:Torfaen","W06000020",91609,7906,28543,18034,17765
"ualad14:Monmouthshire","W06000021",92336,6523,26127,20318,21266
"ualad14:Newport","W06000022",146841,13611,48264,26240,25451
"ualad14:Aberdeen City","S12000033",228990,29964,87185,39990,34261
"ualad14:Aberdeenshire","S12000034",260500,19405,86304,54255,45788
"ualad14:Angus","S12000041",116660,8938,34716,24862,25633
"ualad14:Argyll and Bute","S12000035",87660,6734,24354,19835,21112
"ualad14:Clackmannanshire","S12000005",51190,4133,16583,10841,9329
"ualad14:Dumfries and Galloway","S12000006",149940,11070,41992,33778,35765
"ualad14:Dundee City","S12000042",148260,20208,48493,26614,25796
"ualad14:East Ayrshire","S12000008",122150,10287,39251,25317,23205
"ualad14:East Dunbartonshire","S12000045",106730,8929,30524,23606,22624
"ualad14:East Lothian","S12000010",102050,8271,31727,21277,19496
"ualad14:East Renfrewshire","S12000011",92380,7657,26831,19470,17689
"ualad14:Edinburgh, City of","S12000036",492680,59381,191387,83528,73809
"ualad14:Eilean Siar","S12000013",27250,1725,7930,6114,6446
"ualad14:Falkirk","S12000014",157640,12647,53552,31551,27961
"ualad14:Fife","S12000015",367260,33546,115380,74722,71063
"ualad14:Glasgow City","S12000046",599650,71572,231178,104121,83533
"ualad14:Highland","S12000017",233100,16655,71594,51352,48015
"ualad14:Inverclyde","S12000018",79860,6871,24779,17537,15691
"ualad14:Midlothian","S12000019",86210,6957,27595,17628,15613
"ualad14:Moray","S12000020",94750,7467,29793,19443,19000
"ualad14:North Ayrshire","S12000021",136450,11227,40767,29221,28490
"ualad14:North Lanarkshire","S12000044",337950,29259,115193,66676,54792
"ualad14:Orkney Islands","S12000023",21590,1652,6435,4775,4717
"ualad14:Perth and Kinross","S12000024",148880,11389,45117,31699,32516
"ualad14:Renfrewshire","S12000038",174230,15044,57001,36352,31751
"ualad14:Scottish Borders","S12000026",114030,7882,32443,25717,26331
"ualad14:Shetland Islands","S12000027",23230,1836,7438,4848,4232
"ualad14:South Ayrshire","S12000028",112510,8559,32157,24974,26376
"ualad14:South Lanarkshire","S12000029",315360,25703,102576,67268,57608
"ualad14:Stirling","S12000030",91580,10438,28146,18085,16876
"ualad14:West Dunbartonshire","S12000039",89730,7996,29089,19141,15741
"ualad14:West Lothian","S12000040",177150,14572,61549,34398,27130
"ualad14:Antrim and Newtownabbey","N09000001",139966,12644,47241,25067,21994
"ualad14:Ards and North Down","N09000011",157931,11685,49944,31762,30911
"ualad14:Armagh City, Banbridge and Craigavon","N09000002",205711,17607,71240,35465,30244
"ualad14:Belfast","N09000003",336830,39649,116822,56469,49164
"ualad14:Causeway Coast and Glens","N09000004",142303,13161,46451,26536,23783
"ualad14:Derry City and Strabane","N09000005",149198,14346,50963,26223,20345
"ualad14:Fermanagh and Omagh","N09000006",114992,9506,38238,21417,17676
"ualad14:Lisburn and Castlereagh","N09000007",138627,11374,46865,26016,23134
"ualad14:Mid and East Antrim","N09000008",136642,11387,44642,26417,24361
"ualad14:Mid Ulster","N09000009",142895,13061,50327,23396,19113
"ualad14:Newry, Mourne and Down","N09000010",175403,15544,58924,31032,25191
"gor:North East","E12000001",2618710,257566,827259,517396,491492
"gor:North West","E12000002",7132991,664766,2340002,1332597,1280752
"gor:Yorkshire and The Humber","E12000003",5360027,531278,1742442,987791,957545
"gor:East Midlands","E12000004",4637413,441960,1492616,877947,859156
"gor:West Midlands","E12000005",5713284,539068,1861934,1025713,1029575
"gor:East","E12000006",6018383,491200,1983519,1114433,1141694
"gor:London","E12000007",8538689,760706,3604805,1270284,982922
"gor:South East","E12000008",8873818,761144,2917941,1641745,1648772
"gor:South West","E12000009",5423303,474359,1676844,1049894,1145800
"gor:Wales","W92000004",3092036,295506,956289,595885,614747
"gor:Scotland","S92000003",5347600,497974,1779059,1068995,968389
"gor:Northern Ireland","N92000002",1840498,169964,621657,329800,285916



