Code,Name,Estimated Population mid-2013,Births,Deaths,Births minus Deaths,Internal Migration Inflow,Internal Migration Outflow,Internal Migration Net,International Migration Inflow,International Migration Outflow,International Migration Net,Other,Estimated Population mid-2014
E08000005,Rochdale,212120,2881,1863,1018,6709,7310,-601,1000,601,399,26,212962
E08000006,Salford,239013,3516,2165,1351,12812,12638,174,3121,1643,1478,24,242040
E08000007,Stockport,285032,3418,2556,862,11233,10559,674,748,583,165,22,286755
E08000008,Tameside,220597,2942,2118,824,7118,7912,-794,588,455,133,11,220771
E08000009,Trafford,230179,2845,1814,1031,10635,9686,949,1061,773,288,11,232458
E08000010,Wigan,319690,3726,2937,789,8341,8231,110,850,574,276,110,320975
E10000017,Lancashire,1180077,13209,11756,1453,39771,39125,646,6036,3351,2685,-126,1184735
E07000117,Burnley,86894,1203,886,317,3644,3681,-37,289,180,109,8,87291
E07000118,Chorley,110505,1212,999,213,5181,4289,892,221,155,66,-69,111607
E07000119,Fylde,76442,620,1015,-395,4798,3840,958,218,195,23,14,77042
E07000120,Hyndburn,80046,1090,774,316,3271,3507,-236,211,144,67,15,80208
E07000121,Lancaster,140575,1481,1434,47,7990,8480,-490,1972,730,1242,-97,141277
E07000122,Pendle,90131,1249,838,411,2889,3963,-1074,569,211,358,14,89840
E07000123,Preston,140419,1909,1206,703,8209,9217,-1008,1351,988,363,-25,140452
E07000124,Ribble Valley,57858,422,575,-153,3057,2692,365,137,119,18,3,58091
E07000125,Rossendale,68744,823,605,218,3296,3118,178,108,73,35,-7,69168
E07000126,South Ribble,108913,1182,903,279,4690,4814,-124,207,194,13,-4,109077
E07000127,West Lancashire,111314,1074,1110,-36,5694,5267,427,492,278,214,21,111940
E07000128,Wyre,108236,944,1411,-467,6229,5434,795,261,84,177,1,108742
E11000002,Merseyside (Met County),1386589,16085,13869,2216,32330,32754,-424,9219,6734,2485,247,1391113
E08000011,Knowsley,146086,1805,1424,381,5880,6002,-122,206,147,59,3,146407
E08000012,Liverpool,470780,5777,4141,1636,22022,24082,-2060,7296,4759,2537,180,473073
E08000014,Sefton,273207,2868,3080,-212,8825,8260,565,707,730,-23,-6,273531
E08000013,St. Helens,176221,2024,1727,297,5297,4698,599,317,266,51,20,177188
E08000015,Wirral,320295,3611,3497,114,8091,7497,594,693,832,-139,50,320914
E12000003,YORKSHIRE AND THE HUMBER,5337711,64370,48005,16365,105663,110331,-4668,36407,24722,11685,-1066,5360027
E06000011,East Riding of Yorkshire,336007,3007,3545,-538,15093,13792,1301,971,714,257,88,337115
E06000010,"Kingston upon Hull, City of",257589,3622,2399,1223,8726,10345,-1619,2383,1843,540,-23,257710
E06000012,North East Lincolnshire,159827,1920,1566,354,4387,4817,-430,455,414,41,12,159804
E06000013,North Lincolnshire,168760,1772,1636,136,4973,4986,-13,729,345,384,-20,169247
E06000014,York,202435,2044,1719,325,13487,13124,363,2784,1507,1277,39,204439
E10000023,North Yorkshire,602741,5695,5924,-229,23992,22919,1073,2384,3099,-715,-1334,601536
E07000163,Craven,55540,453,595,-142,2785,2494,291,180,178,2,5,55696
E07000164,Hambleton,89915,842,833,9,4065,3931,134,277,233,44,-274,89828
E07000165,Harrogate,158237,1497,1514,-17,6782,6653,129,810,1579,-769,-313,157267
E07000166,Richmondshire,53886,520,427,93,2611,3085,-474,234,258,-24,-752,52729
E07000167,Ryedale,52212,457,566,-109,2883,2318,565,173,194,-21,8,52655
E07000168,Scarborough,108223,1004,1285,-281,4496,4409,87,377,390,-13,-10,108006
E07000169,Selby,84728,922,704,218,4201,3860,341,333,267,66,2,85355
E11000003,South Yorkshire (Met County),1358153,16064,12304,3760,35304,36412,-1108,10166,5251,4915,127,1365847
E08000016,Barnsley,235757,2756,2222,534,7168,6253,915,1065,451,614,23,237843
E08000017,Doncaster,303622,3642,2950,692,7928,8677,-749,1397,857,540,80,304185
E08000018,Rotherham,258689,3163,2455,708,7967,7583,384,706,426,280,9,260070
E08000019,Sheffield,560085,6503,4677,1826,23580,25238,-1658,6998,3517,3481,15,563749
E11000006,West Yorkshire (Met County),2252199,30246,18912,11334,56916,61151,-4235,16535,11549,4986,45,2264329
E08000032,Bradford,526369,8048,4207,3841,14413,17749,-3336,3860,2615,1245,36,528155
E08000033,Calderdale,206355,2476,1811,665,6848,6921,-73,768,377,391,38,207376
E08000034,Kirklees,428279,5536,3624,1912,13113,13675,-562,2679,1325,1354,37,431020
E08000035,Leeds,761488,10131,6289,3842,37868,38172,-304,7844,6401,1443,-70,766399
E08000036,Wakefield,329708,4055,2981,1074,9592,9552,40,1384,831,553,4,331379
E12000004,EAST MIDLANDS,4598431,52957,40937,12020,120509,114357,6152,33159,13820,19339,1471,4637413
E06000015,Derby,251423,3447,2138,1309,10721,12000,-1279,1994,1019,975,35,252463
E06000016,Leicester,333812,5177,2446,2731,16607,19507,-2900,6945,2960,3985,25,337653
E06000018,Nottingham,310837,4283,2214,2069,25602,27289,-1687,6475,3407,3068,-19,314268
E06000017,Rutland,37606,335,318,17,2471,2438,33,162,122,40,326,38022
E10000007,Derbyshire,776160,7843,7512,331,26516,24011,2505,1484,771,713,95,779804
E07000032,Amber Valley,123498,1226,1245,-19,5240,4845,395,189,124,65,3,123942
E07000033,Bolsover,76729,847,834,13,3620,3388,232,251,78,173,8,77155
E07000034,Chesterfield,104030,1162,1059,103,3557,3534,23,199,81,118,14,104288
E07000035,Derbyshire Dales,71266,518,792,-274,3117,2888,229,149,98,51,9,71281
E07000036,Erewash,113170,1300,1074,226,5488,4910,578,205,147,58,16,114048
E07000037,High Peak,91111,840,754,86,3497,3420,77,182,96,86,4,91364
E07000038,North East Derbyshire,99281,860,981,-121,4034,3936,98,140,51,89,5,99352
E07000039,South Derbyshire,97075,1090,773,317,5690,4817,873,169,96,73,36,98374
E10000018,Leicestershire,661575,6591,5630,961,30123,26827,3296,2905,846,2059,14,667905
E07000129,Blaby,95092,1028,805,223,5218,4815,403,213,95,118,15,95851
E07000130,Charnwood,170645,1681,1341,340,11738,10515,1223,1641,302,1339,-2,173545
E07000131,Harborough,87450,807,733,74,4781,4424,357,208,75,133,-6,88008
E07000132,Hinckley and Bosworth,106613,1073,884,189,5169,4409,760,276,115,161,-1,107722
E07000133,Melton,50836,501,450,51,2348,2312,36,126,102,24,22,50969
E07000134,North West Leicestershire,94814,950,855,95,4904,4072,832,203,54,149,-8,95882
E07000135,Oadby and Wigston,56125,551,562,-11,4390,4705,-315,238,103,135,-6,55928
E10000019,Lincolnshire,724369,7660,7534,126,28402,25253,3149,4732,1567,3165,707,731516
E07000136,Boston,65870,833,682,151,2286,2946,-660,1378,246,1132,-35,66458
E07000137,East Lindsey,136711,1213,1800,-587,7442,6277,1165,351,155,196,138,137623
E07000138,Lincoln,95629,1232,817,415,8172,8842,-670,1075,339,736,92,96202
E07000139,North Kesteven,109814,1066,1003,63,6278,5537,741,237,145,92,336,111046
E07000140,South Holland,89243,959,1030,-71,4119,3585,534,887,209,678,35,90419
E07000141,South Kesteven,136385,1437,1286,151,7223,6060,1163,602,392,210,72,137981
E07000142,West Lindsey,90717,920,916,4,5684,4808,876,202,81,121,69,91787
E10000021,Northamptonshire,706433,8872,5704,3168,23478,22608,870,5656,1821,3835,86,714392
E07000150,Corby,64213,940,524,416,2580,2319,261,714,175,539,5,65434
E07000151,Daventry,78556,793,693,100,4143,3948,195,352,131,221,-36,79036
E07000152,East Northamptonshire,87987,929,737,192,4610,4102,508,292,159,133,52,88872
E07000153,Kettering,95754,1220,790,430,4650,4154,496,446,196,250,15,96945
E07000154,Northampton,216740,3180,1658,1522,9865,10883,-1018,3060,825,2235,16,219495
E07000155,South Northamptonshire,87225,823,674,149,5481,4843,638,249,113,136,16,88164
E07000156,Wellingborough,75958,987,628,359,3619,3829,-210,543,222,321,18,76446
E10000024,Nottinghamshire,796216,8749,7441,1308,30862,28697,2165,2806,1307,1499,202,801390
E07000170,Ashfield,121553,1520,1155,365,5586,5156,430,250,94,156,4,122508
E07000171,Bassetlaw,113654,1205,1155,50,4374,4304,70,457,212,245,124,114143
E07000172,Broxtowe,111243,1199,1011,188,7219,7215,4,594,266,328,17,111780
E07000173,Gedling,114818,1243,1051,192,6435,5868,567,212,164,48,13,115638
E07000174,Mansfield,105296,1310,984,326,4313,4380,-67,526,199,327,11,105893
E07000175,Newark and Sherwood,116817,1213,1118,95,6149,5514,635,416,228,188,23,117758
E07000176,Rushcliffe,112835,1059,967,92,7244,6718,526,351,144,207,10,113670
E12000005,WEST MIDLANDS,5674712,70772,49976,20796,109152,112103,-2951,42317,22630,19687,1040,5713284
E06000019,"Herefordshire, County of",186087,1771,1832,-61,6951,6606,345,1554,860,694,95,187160
E06000051,Shropshire,308567,2838,3103,-265,12421,10720,1701,984,898,86,32,310121
E06000021,Stoke-on-Trent,250227,3677,2321,1356,9358,10552,-1194,1524,908,616,22,251027
E06000020,Telford and Wrekin,168452,2141,1317,824,6347,6444,-97,750,580,170,91,169440
E10000028,Staffordshire,857007,8594,7932,662,29108,28594,514,2981,1329,1652,330,860165
E07000192,Cannock Chase,98119,1111,796,315,3632,3641,-9,147,44,103,21,98549
E07000193,East Staffordshire,114922,1445,1047,398,4431,4537,-106,675,337,338,111,115663
E07000194,Lichfield,101768,942,1032,-90,5191,4938,253,291,146,145,17,102093
E07000195,Newcastle-under-Lyme,125239,1233,1131,102,6642,6564,78,830,226,604,29,126052
E07000196,South Staffordshire,110295,917,1067,-150,5420,4978,442,118,57,61,44,110692
E07000197,Stafford,132092,1230,1246,-16,5498,5676,-178,600,346,254,89,132241
E07000198,Staffordshire Moorlands,97415,817,1018,-201,3944,3433,511,122,87,35,3,97763
E07000199,Tamworth,77157,899,595,304,2698,3175,-477,198,86,112,16,77112
E10000031,Warwickshire,548729,5937,4814,1123,22629,22196,433,3476,2320,1156,153,551594
E07000218,North Warwickshire,62124,627,595,32,3248,3025,223,124,46,78,11,62468
E07000219,Nuneaton and Bedworth,126003,1531,1081,450,4470,4773,-303,299,297,2,22,126174
E07000220,Rugby,101373,1259,798,461,4822,4397,425,845,682,163,78,102500
E07000221,Stratford-on-Avon,120767,1019,1242,-223,6276,5889,387,713,614,99,26,121056
E07000222,Warwick,138462,1501,1098,403,7971,8270,-299,1495,681,814,16,139396
E11000005,West Midlands (Met County),2783475,39800,23135,16665,69539,75781,-6242,28434,14127,14307,151,2808356
E08000025,Birmingham,1092330,17231,8235,8996,42502,47639,-5137,13708,8638,5070,101,1101360
E08000026,Coventry,329810,4513,2584,1929,16912,17176,-264,8043,2090,5953,0,337428
E08000027,Dudley,314427,3877,2892,985,9605,9575,30,645,329,316,41,315799
E08000028,Sandwell,314329,4676,2746,1930,12982,14021,-1039,2234,735,1499,0,316719
E08000029,Solihull,208861,2268,1890,378,9852,9323,529,548,422,126,-4,209890
E08000030,Walsall,272161,3744,2421,1323,10151,9910,241,909,465,444,4,274173
E08000031,Wolverhampton,251557,3491,2367,1124,9835,10437,-602,2347,1448,899,9,252987
E10000034,Worcestershire,572168,6014,5522,492,19815,18226,1589,2614,1608,1006,166,575421
E07000234,Bromsgrove,94744,884,1010,-126,5268,4631,637,178,99,79,151,95485
E07000235,Malvern Hills,75339,610,914,-304,4725,3984,741,389,258,131,4,75911
E07000236,Redditch,84521,1117,614,503,2685,3438,-753,454,262,192,8,84471
E07000237,Worcester,100405,1252,772,480,5647,5898,-251,680,474,206,2,100842
E07000238,Wychavon,118738,1072,1212,-140,6231,5424,807,756,401,355,-8,119752
E07000239,Wyre Forest,98421,1079,1000,79,3676,3268,408,157,114,43,9,98960
E12000006,EAST,5954316,71787,51056,20731,158743,139250,19493,41234,19419,21815,2028,6018383
E06000055,Bedford,161383,2130,1267,863,8097,7216,881,1419,659,760,37,163924
E06000056,Central Bedfordshire,264528,3190,1869,1321,14773,12941,1832,1718,327,1391,4,269076
E06000032,Luton,207989,3538,1329,2209,8927,10849,-1922,3638,955,2683,3,210962
E06000031,Peterborough,188399,3132,1353,1779,7189,8831,-1642,2550,707,1843,82,190461
E06000033,Southend-on-Sea,175798,2287,1744,543,8783,7483,1300,754,459,295,-5,177931
E06000034,Thurrock,160849,2359,1147,1212,7345,6612,733,940,472,468,8,163270
E10000003,Cambridgeshire,632756,7305,4882,2423,30185,29450,735,7421,3706,3715,189,639818
E07000008,Cambridge,126663,1391,790,601,12862,13774,-912,4209,2114,2095,68,128515
E07000009,East Cambridgeshire,85899,1000,650,350,4395,4274,121,656,454,202,113,86685
E07000010,Fenland,96738,1146,1040,106,5107,4855,252,803,175,628,8,97732
E07000011,Huntingdonshire,171989,2002,1246,756,8395,7756,639,800,527,273,-52,173605
E07000012,South Cambridgeshire,151467,1766,1156,610,9954,9319,635,953,436,517,52,153281
E10000012,Essex,1416405,16174,12891,3283,51101,42685,8416,6424,3139,3285,564,1431953
E07000066,Basildon,178362,2400,1460,940,8160,7326,834,591,227,364,21,180521
E07000067,Braintree,149108,1621,1291,330,7083,6772,311,451,251,200,36,149985
E07000068,Brentwood,74460,822,734,88,4805,3843,962,302,166,136,-1,75645
E07000069,Castle Point,88570,828,951,-123,4151,3801,350,143,31,112,-2,88907
E07000070,Chelmsford,170256,1923,1266,657,8217,8103,114,825,356,469,137,171633
E07000071,Colchester,177626,2245,1437,808,10209,9318,891,1938,1185,753,342,180420
E07000072,Epping Forest,127170,1488,1214,274,8148,7227,921,590,166,424,-12,128777
E07000073,Harlow,83372,1258,650,608,3855,3757,98,688,209,479,7,84564
E07000074,Maldon,62166,545,603,-58,3314,2743,571,141,51,90,-2,62767
E07000075,Rochford,83911,764,678,86,4356,3659,697,113,36,77,5,84776
E07000076,Tendring,138721,1407,1952,-545,6962,5261,1701,327,297,30,9,139916
E07000077,Uttlesford,82683,873,655,218,5407,4441,966,315,164,151,24,84042
E10000015,Hertfordshire,1140703,14635,8675,5960,50919,47428,3491,7627,3161,4466,146,1154766
E07000095,Broxbourne,94985,1203,641,562,4901,4916,-15,412,196,216,0,95748
E07000096,Dacorum,148196,1910,1133,777,7602,7332,270,700,255,445,53,149741
E07000242,East Hertfordshire,141076,1582,921,661,8444,7738,706,780,213,567,11,143021
E07000098,Hertsmere,101272,1359,849,510,6873,6579,294,682,350,332,19,102427
E07000099,North Hertfordshire,129318,1628,1166,462,7810,6722,1088,423,261,162,16,131046
E07000240,St Albans,143094,1870,987,883,8599,7981,618,769,529,240,-1,144834
E07000243,Stevenage,85474,1162,718,444,3960,4110,-150,371,145,226,3,85997
E07000102,Three Rivers,89491,1043,707,336,6004,5592,412,337,206,131,53,90423
E07000103,Watford,93736,1493,631,862,6760,6442,318,1076,486,590,-1,95505
E07000241,Welwyn Hatfield,114061,1385,922,463,8619,8669,-50,2077,520,1557,-7,116024
E10000020,Norfolk,871040,9081,8887,194,26734,23848,2886,5657,2398,3259,331,877710
E07000143,Breckland,132946,1431,1423,8,6580,6015,565,808,390,418,49,133986
E07000144,Broadland,125507,1033,1316,-283,6539,5942,597,216,84,132,8,125961
E07000145,Great Yarmouth,97803,1099,1095,4,3683,3773,-90,613,177,436,19,98172
E07000146,King's Lynn and West Norfolk,149265,1617,1598,19,5902,5557,345,758,518,240,157,150026
E07000147,North Norfolk,102049,832,1311,-479,5183,4222,961,398,152,246,90,102867
E07000148,Norwich,135900,1810,989,821,10766,11670,-904,2512,853,1659,-4,137472
E07000149,South Norfolk,127570,1259,1155,104,7937,6525,1412,352,224,128,12,129226
E10000029,Suffolk,734466,7956,7012,944,23699,20916,2783,3086,3436,-350,669,738512
E07000200,Babergh,88292,780,878,-98,5041,4365,676,267,311,-44,19,88845
E07000201,Forest Heath,61243,961,491,470,3368,2930,438,410,601,-191,852,62812
E07000202,Ipswich,134701,1882,1088,794,6208,6668,-460,1032,1132,-100,31,134966
E07000203,Mid Suffolk,98017,929,922,7,5569,4515,1054,212,185,27,16,99121
E07000204,St Edmundsbury,111846,1137,941,196,5009,5204,-195,464,431,33,193,112073
E07000205,Suffolk Coastal,124405,1039,1335,-296,6073,5276,797,411,534,-123,-7,124776
E07000206,Waveney,115962,1228,1357,-129,4466,3993,473,290,242,48,-435,115919
E12000007,LONDON,8416543,127807,45449,82358,204443,273077,-68634,200902,93498,107404,1018,8538689
E09000007,Camden,229719,2679,1037,1642,20976,23766,-2790,12531,6243,6288,-13,234846
E09000001,City of London,7648,68,33,35,906,768,138,698,446,252,-1,8072
E09000012,Hackney,257379,4372,967,3405,19999,20225,-226,5285,2693,2592,0,263150
E09000013,Hammersmith and Fulham,178685,2494,813,1681,16336,19584,-3248,5917,4640,1277,-30,178365
E09000014,Haringey,263386,4091,1085,3006,20626,25038,-4412,8230,2671,5559,2,267541
E09000019,Islington,215671,2841,1015,1826,20749,21816,-1067,8102,3482,4620,-20,221030
E09000020,Kensington and Chelsea,155594,1820,732,1088,10999,12579,-1580,4882,3823,1059,29,156190
E09000022,Lambeth,314242,4571,1341,3230,30791,32699,-1908,7100,4455,2645,7,318216
E09000023,Lewisham,286180,4753,1461,3292,22542,23329,-787,5188,1954,3234,14,291933
E09000025,Newham,318227,6285,1193,5092,18678,27212,-8534,13688,4170,9518,19,324322
E09000028,Southwark,298465,4663,1279,3384,25873,29411,-3538,8778,4568,4210,17,302538
E09000030,Tower Hamlets,272890,4520,1002,3518,23142,24017,-875,13117,4650,8467,15,284015
E09000032,Wandsworth,310516,5206,1479,3727,31074,33217,-2143,7005,7246,-241,286,312145
E09000033,Westminster,226841,2574,1007,1567,17127,21127,-4000,14459,5573,8886,-2,233292
E09000002,Barking and Dagenham,194352,3699,1190,2509,12928,14046,-1118,3426,883,2543,8,198294
E09000003,Barnet,369088,5275,2337,2938,21984,23868,-1884,7720,2950,4770,3,374915
E09000004,Bexley,236687,3019,1824,1195,12228,10955,1273,1144,445,699,11,239865
E09000005,Brent,317264,5160,1466,3694,17393,24325,-6932,11257,4540,6717,19,320762
E09000006,Bromley,317899,4002,2516,1486,18140,16971,1169,1694,966,728,-4,321278
E09000008,Croydon,372752,5648,2205,3443,19983,22345,-2362,4236,2047,2189,18,376040
E09000009,Ealing,342494,5462,1754,3708,20278,26669,-6391,8221,5930,2291,16,342118
E09000010,Enfield,320524,4876,1928,2948,17155,19047,-1892,4291,1308,2983,11,324574
E09000011,Greenwich,264008,4405,1510,2895,18150,19412,-1262,4575,1782,2793,244,268678
E09000015,Harrow,243373,3574,1392,2182,13704,16310,-2606,4526,1496,3030,32,246011
E09000016,Havering,242080,3088,2111,977,12515,10271,2244,1139,466,673,0,245974
E09000017,Hillingdon,286808,4369,1733,2636,16995,17795,-800,5406,1436,3970,76,292690
E09000018,Hounslow,262407,4344,1354,2990,15677,19355,-3678,5614,2007,3607,242,265568
E09000021,Kingston upon Thames,166793,2169,991,1178,12850,13038,-188,3280,1144,2136,39,169958
E09000024,Merton,203223,3308,1193,2115,15250,17615,-2365,3622,3082,540,2,203515
E09000026,Redbridge,288272,4592,1589,3003,18830,20452,-1622,5189,1786,3403,-1,293055
E09000027,Richmond upon Thames,191365,2698,1088,1610,14219,14011,208,1859,1433,426,-24,193585
E09000029,Sutton,195914,2642,1478,1164,11077,10483,594,1071,606,465,-3,198134
E09000031,Waltham Forest,265797,4540,1346,3194,15068,21120,-6052,7652,2577,5075,6,268020
E12000008,SOUTH EAST,8792766,102348,74729,27619,242323,222328,19995,71392,37479,33913,-475,8873818
E06000036,Bracknell Forest,116567,1495,668,827,6513,6379,134,875,394,481,16,118025
E06000043,Brighton and Hove,278112,2958,1940,1018,18356,20079,-1723,6019,2379,3640,29,281076
E06000046,Isle of Wight,138393,1292,1583,-291,4773,3885,888,373,262,111,4,139105
E06000035,Medway,271105,3605,2095,1510,12044,11600,444,1454,602,852,104,274015
E06000042,Milton Keynes,255702,3814,1608,2206,11142,10516,626,2215,1519,696,15,259245
E06000044,Portsmouth,207460,2718,1688,1030,11589,12667,-1078,2801,1173,1628,45,209085
E06000038,Reading,159247,2627,1013,1614,11847,13340,-1493,3370,1787,1583,-126,160825
E06000039,Slough,143024,2618,730,1888,6434,7742,-1308,1903,924,979,-8,144575
E06000045,Southampton,242141,3290,1776,1514,15101,17325,-2224,5299,1443,3856,3,245290
E06000037,West Berkshire,155394,1795,1127,668,8150,8518,-368,757,730,27,11,155732
E06000040,Windsor and Maidenhead,146335,1696,1172,524,9094,8898,196,1136,825,311,34,147400
E06000041,Wokingham,157866,1770,1109,661,9760,9670,90,1202,743,459,21,159097
E10000002,Buckinghamshire,516109,5832,3919,1913,25007,22920,2087,3406,1777,1629,184,521922
E07000004,Aylesbury Vale,181084,2163,1360,803,10069,8643,1426,1561,457,1104,143,184560
E07000005,Chiltern,93250,866,813,53,5755,5196,559,386,280,106,4,93972
E07000006,South Bucks,67941,703,584,119,4996,4581,415,399,325,74,-37,68512
E07000007,Wycombe,173834,2100,1162,938,9067,9380,-313,1060,715,345,74,174878
E10000011,East Sussex,534402,5151,5992,-841,22380,17115,5265,2297,1472,825,115,539766
E07000061,Eastbourne,100537,1114,1202,-88,6247,5448,799,701,403,298,1,101547
E07000062,Hastings,90754,1157,919,238,4446,4435,11,448,358,90,0,91093
E07000063,Lewes,99479,867,1008,-141,5768,5063,705,325,251,74,112,100229
E07000064,Rother,91054,685,1297,-612,6218,4644,1574,298,183,115,-1,92130
E07000065,Wealden,152578,1328,1566,-238,9324,7148,2176,525,277,248,3,154767
E10000014,Hampshire,1337730,14314,11773,2541,51623,47637,3986,5440,4133,1307,572,1346136
E07000084,Basingstoke and Deane,171852,2112,1216,896,7613,7622,-9,931,798,133,-2,172870
E07000085,East Hampshire,117088,1130,1094,36,6786,6345,441,427,425,2,-84,117483
E07000086,Eastleigh,127722,1574,977,597,6404,6037,367,338,162,176,15,128877
E07000087,Fareham,113614,1041,1140,-99,6169,5601,568,312,235,77,171,114331
E07000088,Gosport,83503,922,755,167,3712,3414,298,195,147,48,271,84287
E07000089,Hart,92720,969,636,333,5380,5253,127,367,361,6,139,93325
E07000090,Havant,121562,1264,1239,25,5706,5177,529,267,163,104,-10,122210
E07000091,New Forest,178062,1496,1958,-462,8061,7131,930,620,278,342,35,178907
E07000092,Rushmoor,94971,1351,646,705,5488,6147,-659,617,390,227,52,95296
E07000093,Test Valley,118372,1213,1074,139,6492,5818,674,492,383,109,38,119332
E07000094,Winchester,118264,1242,1038,204,8926,8206,720,874,791,83,-53,119218
E10000016,Kent,1493512,17156,13464,3692,54437,46621,7816,9591,3979,5612,-278,1510354
E07000105,Ashford,121723,1435,973,462,6350,5653,697,627,229,398,5,123285
E07000106,Canterbury,155307,1435,1446,-11,12939,11749,1190,2245,798,1447,-284,157649
E07000107,Dartford,100569,1476,748,728,6254,5674,580,514,165,349,8,102234
E07000108,Dover,112338,1141,1208,-67,4852,4203,649,526,360,166,-20,113066
E07000109,Gravesham,103752,1487,866,621,5080,4600,480,659,251,408,0,105261
E07000110,Maidstone,159325,1887,1391,496,8805,7738,1067,1321,466,855,76,161819
E07000111,Sevenoaks,117035,1234,988,246,7054,6816,238,510,235,275,17,117811
E07000112,Shepway,108832,1125,1174,-49,5347,4890,457,388,149,239,-27,109452
E07000113,Swale,139171,1710,1207,503,6289,5572,717,784,223,561,-116,140836
E07000114,Thanet,136766,1598,1655,-57,6249,4955,1294,793,427,366,41,138410
E07000115,Tonbridge and Malling,123001,1396,892,504,7830,7143,687,463,240,223,11,124426
E07000116,Tunbridge Wells,115693,1232,916,316,6496,6736,-240,761,436,325,11,116105
E10000025,Oxfordshire,666197,7830,5263,2567,32208,32961,-753,8862,3897,4965,-460,672516
E07000177,Cherwell,143771,1752,1241,511,7388,7393,-5,1019,615,404,-187,144494
E07000178,Oxford,154773,1948,881,1067,14654,16224,-1570,5763,2051,3712,15,157997
E07000179,South Oxfordshire,136016,1514,1106,408,8150,7732,418,708,631,77,96,137015
E07000180,Vale of White Horse,123648,1404,999,405,7655,7226,429,895,352,543,-173,124852
E07000181,West Oxfordshire,107989,1212,1036,176,4986,5011,-25,477,248,229,-211,108158
E10000030,Surrey,1152114,13573,9502,4071,57212,54710,2502,9528,6493,3035,-466,1161256
E07000207,Elmbridge,132179,1830,997,833,8556,8370,186,992,1435,-443,14,132769
E07000208,Epsom and Ewell,77131,913,584,329,5616,5046,570,477,202,275,13,78318
